# This is not legal advice. Research-grade precheck output (schema 1.0); see compliance_matrix.md for context.
schema_version,rule_id,title,jurisdiction,authority,binding_type,severity,status,detail,source_reference,source_date_or_version,required_evidence,missing_evidence,limitations
1.0,SCHEMA-VAL-01,Mission profile schema validation (stdlib manual validation),ADSC internal,tools/compliance/mission_profile.schema.json (documentation twin),adsc_policy,warn,PASS,all required fields present with expected types,ADSC mission_profile.schema.json (adsc-mission-profile-1.0),schema 1.0,,,Manual validation dual-maintained with the schema document; unknown fields are ignored by every rule and can never produce a PASS.
1.0,INTL-OST-06-01,National authorization and continuing supervision of the mission,international,States Parties to the Outer Space Treaty,binding,blocking,NOT_APPLICABLE,rule does not apply to this profile,"Outer Space Treaty, Article VI (610 UNTS 205)",1967 (in force 10 October 1967),national_authorization_evidence,,"Precheck only: verifies that authorization evidence is DECLARED, not that a valid authorization exists or covers this activity. Which state is the 'appropriate State Party' for a multi-state mission requires legal review."
1.0,INTL-OST-08-01,Registry-state jurisdiction and control: owner consent for active interference,international,States Parties to the Outer Space Treaty,binding,blocking,PASS,condition satisfied,"Outer Space Treaty, Article VIII (610 UNTS 205)",1967 (in force 10 October 1967),,,"The consent requirement is an INTERPRETATION derived from Art. VIII's allocation of jurisdiction and control - it is not express treaty text, and its precise legal basis requires legal review. For research profiles, consent 'true' is a declared scenario assumption (ADSC spec D9), never a legal fact, and the finding notes must be read that way. The consent instrument (agreement, contract, note verbale) required in a real case also needs legal review."
1.0,INTL-REG-01,Registration of the servicer space object,international,States Parties to the Registration Convention,binding,warn,NOT_APPLICABLE,rule does not apply to this profile,"Convention on Registration of Objects Launched into Outer Space, Article II (1023 UNTS 15)",1975 (in force 15 September 1976),registration_evidence,,Precheck of declared evidence only. Registration timing ('as soon as practicable') and the choice of registry state among joint launching states require legal review.
1.0,INTL-LIAB-01,Third-party liability risk allocation evidence,international,States Parties to the Liability Convention,placeholder,warn,NOT_APPLICABLE,rule does not apply to this profile,"Convention on International Liability for Damage Caused by Space Objects, Articles II-III (961 UNTS 187)",1972 (in force 1 September 1972),,,"Placeholder: the convention binds STATES, not operators - the operator-level insurance/indemnification check performed here is NOT imposed by the cited instrument itself but by national law, which varies by jurisdiction. binding_type is therefore 'placeholder' (conservatism policy); amounts and scope require legal review."
1.0,IADC-ODM-25YR,Post-mission disposal lifetime within 25 years (IADC guideline),international,Inter-Agency Space Debris Coordination Committee (IADC),guideline,warn,PASS,condition satisfied,"IADC Space Debris Mitigation Guidelines, IADC-02-01, guideline 5.3.2 (objects passing through the LEO protected region)",IADC-02-01 Rev. 2 (March 2020); later revisions exist - confirm the current one,,,Non-binding guideline. Stricter national rules supersede it where they apply - notably the US FCC 5-year rule (see FCC-ODM-5YR); under a US FCC-jurisdiction scenario the 25-year figure is NOT the operative standard. Confirm the current IADC revision before citing.
1.0,FCC-ODM-5YR,Post-mission disposal within 5 years for LEO space stations (FCC-jurisdiction scenario),US,Federal Communications Commission,binding,blocking,NOT_APPLICABLE,rule does not apply to this profile,"FCC, Second Report and Order, 'Mitigation of Orbital Debris in the New Space Age', FCC 22-74 (adopted 29 September 2022); 47 CFR Part 25 space-station disposal rules",FCC 22-74 (2022),orbital_debris_mitigation_plan,,"Simplified jurisdiction test (operating_state/launching_state == 'US'); the real trigger is an FCC space-station authorization, including US market access for non-US systems. Exact codified CFR subsections, transition periods and waiver practice require legal review."
1.0,FCC-ODM-DISCLOSE,Orbital debris mitigation disclosure with the FCC application,US,Federal Communications Commission,binding,warn,NOT_APPLICABLE,rule does not apply to this profile,47 CFR 25.114(d)(14) (orbital debris mitigation disclosure for space station applications),as amended through FCC 22-74 (2022),orbital_debris_mitigation_plan,,"Precheck of declared evidence only; the disclosure's technical content (collision risk, casualty risk, maneuverability, trackability) is not evaluated here. Requires legal review."
1.0,FAA-LRL-01,FAA launch and reentry authorization evidence (US commercial scenario),US,"Federal Aviation Administration, Office of Commercial Space Transportation",binding,blocking,NOT_APPLICABLE,rule does not apply to this profile,51 U.S.C. chapter 509 (Commercial Space Launch Activities); 14 CFR Part 450 (Launch and Reentry License Requirements),"14 CFR Part 450 (streamlined rule, 2020)",faa_part450_application_evidence,,Precheck of declared evidence only. Whether the deorbit-kit-driven target reentry itself needs a Part 450 reentry authorization (vs. only the servicer launch) is an open legal question for ADR concepts - requires legal review.
1.0,NOAA-RS-01,NOAA private remote-sensing system authorization evidence,US,"National Oceanic and Atmospheric Administration, Commercial Remote Sensing Regulatory Affairs",placeholder,warn,NOT_APPLICABLE,rule does not apply to this profile,51 U.S.C. chapter 601 (Land Remote Sensing Policy); 15 CFR Part 960 (Licensing of Private Remote Sensing Space Systems),15 CFR Part 960 (2020 revision),noaa_remote_sensing_authorization_evidence,,Placeholder rule: the US-nexus test (US person / platform control) and the 2020 tiering system are NOT modelled - the rule fires on any remote-sensing payload. Rendezvous inspection cameras may or may not fall under Part 960. Requires legal review.
