schema_version,metric,value,units,source
1.0,wp1_coast_samples,120.000000,count,"corridor thrust-off sweep, 2 orbital periods"
1.0,wp1_worst_coast_min_range_m,424.264069,m,"worst closest approach across all coasts"
1.0,wp1_keep_out_radius_m,200.000000,m,"Config keep-out sphere"
1.0,f1_clean_abort_dv_m_s,0.245016,m_per_s,"contact-range abort impulse (uncapped)"
1.0,f1_clean_coast_min_m,0.119712,m,"verified post-burn coast minimum, clean case"
1.0,f1_clean_capped,0.000000,bool,"0 = full impulse delivered"
1.0,f1_capped_abort_dv_m_s,2.000000,m_per_s,"capped at Config abort_dv"
1.0,f1_capped_coast_min_m,3565.717926,m,"verified post-burn coast minimum, capped case"
1.0,f1_capped_capped,1.000000,bool,"1 = impulse cap bound, drift remains"
1.0,wp2_sync_time_s,16.870000,s,"criteria first held, then dwelled 30 s"
1.0,wp2_max_rate_after_dwell_deg_s,0.021284,deg_per_s,"max |w_rel| after dwell (tol 0.1)"
1.0,wp2_max_att_after_dwell_deg,0.098531,deg,"max attitude error after dwell (tol 2.0)"
1.0,v2_detumble_settle_time_s,19.150000,s,"post-capture detumble regression reference"
1.0,wp3_contact_energy_j,0.333000,J,"0.5*m*v^2 at the gated closing speed"
1.0,wp3_contact_speed_m_s,0.150000,m_per_s,"Config max_v_rel closing-speed gate"
1.0,wp3_contact_mass_kg,29.600000,kg,"servicer bus dry + kit at contact"
1.0,wp3_kit_mass_kg,2.400000,kg,"installed deorbit-kit mass (Config)"
1.0,wp3_target_inclination_deg,71.000000,deg,"catalog_A class inclination (D2)"
1.0,wp3_approach_closest_m,424.264069,m,"corridor per-hold minimum range"
1.0,wp3_depart_coast_min_m,400.000000,m,"post-departure bounded-coast minimum"
1.0,wp4_sync_time_s,17.070000,s,"truth-evaluated sync under estimate-only control"
1.0,wp4_rms_att_rel_deg,0.034109,deg,"relative-attitude estimation RMS"
1.0,wp4_rms_pos_m,0.038156,m,"relative-position estimation RMS"
1.0,wp4_nis_trans,3.943781,chi2_per_4dof,"translation NIS mean (expect ~4)"
1.0,wp4_nees_trans,7.796478,chi2_per_6dof,"translation NEES mean (expect ~6, coarse)"
1.0,wp4_seed,20260703.000000,seed,"fixed RNG seed (R6)"
1.0,campaign_targets_per_mission,6.000000,count,"planned targets per mission (CampaignConfig)"
1.0,wp11_guided_completed,1.000000,bool,"L0 guided-approach demo, deterministic"
1.0,wp11_guided_contact_speed_m_s,0.100000,m_per_s,"produced by the glideslope-with-floor profile, not merely gated"
1.0,wp11_guided_dv_total_m_s,2.533611,m_per_s,"sum of |impulse| across the whole demo"
1.0,wp11_guided_min_clearance_outside_m,200.000000,m,"min (range - keep_out) over pre-authorization (outside-sphere) flight"
1.0,wp11_abort_feasible_every_step,1.000000,bool,"WP11 reachability screen held at every guidance step and hold"
1.0,wp11_los_cone_ok,1.000000,bool,"LOS cone about -V-bar held throughout final approach"
1.0,wp11_retreat_dv_total_m_s,0.403983,m_per_s,"RetreatHop burn1+burn2 (+ station-keep hop if the post-hop range fell short of standoff)"
1.0,wp12_est_guided_completed,1.000000,bool,"L4 estimate-driven guided-approach demo (TranslationEkf-in-the-loop)"
1.0,wp12_est_guided_contact_speed_m_s,0.099759,m_per_s,"TRUTH-evaluated contact speed (honest reporting, D5/WP11)"
1.0,wp12_est_guided_final_pos_err_m,0.023540,m,"|estimate - truth| relative-position error at end of run"
1.0,wp12_est_nis_trans,3.994325,chi2_per_4dof,"translation-EKF NIS mean over executed (non-dropped) updates; an unestimated range-bias random walk can inflate this above the ideal ~4 (documented estimation gap, reported honestly)"
1.0,wp12_est_nees_trans,310.437825,chi2_per_6dof,"translation-EKF NEES mean (expect ~6, coarse)"
1.0,wp12_l5_synced,1.000000,bool,"WP12 L5 sync demo under MIB 2e-4 N*m*s / 1-step delay / axis-0 fault @ 0.5"
1.0,wp12_l5_sync_time_s,16.280000,s,"criteria first held, then dwelled 30 s, under the L5 actuator error"
1.0,wp12_l5_final_rate_err,0.013590,deg_per_s,"final |w_rel| under the L5 actuator error"
1.0,wp12_l5_guided_contact_speed_m_s,0.100000,m_per_s,"contact velocity quantized at a 1e-3 m/s PLACEHOLDER translation MIB; max_v_rel gate still met"
